fecha_iv,tc_iv
1995-05-17,5.9000
1995-05-18,5.8975
1995-05-19,5.9000
1995-05-22,5.9150
1995-05-23,5.9525
1995-05-24,6.0025
1995-05-25,6.0500
1995-05-26,6.1150
1995-05-29,6.1700
1995-05-30,6.1750
1995-05-31,6.1900
1995-06-01,6.1800
1995-06-02,6.1825
1995-06-05,6.1375
1995-06-06,6.1000
1995-06-07,6.1350
1995-06-08,6.1900
1995-06-09,6.2375
1995-06-12,6.2250
1995-06-13,6.1725
1995-06-14,6.1775
1995-06-15,6.1825
1995-06-16,6.1850
1995-06-19,6.1950
1995-06-20,6.2175
1995-06-21,6.2560
1995-06-22,6.2435
1995-06-23,6.2260
1995-06-26,6.2385
1995-06-27,6.2650
1995-06-28,6.2725
1995-06-29,6.2550
1995-06-30,6.2500
1995-07-03,6.2450
1995-07-04,6.2460
1995-07-05,6.2650
1995-07-06,6.2260
1995-07-07,6.1800
1995-07-10,6.1175
1995-07-11,6.1050
1995-07-12,6.1140
1995-07-13,6.0575
1995-07-14,6.0075
1995-07-17,5.9925
1995-07-18,6.0250
1995-07-19,6.0680
1995-07-20,6.1250
1995-07-21,6.1230
1995-07-24,6.1100
1995-07-25,6.1275
1995-07-26,6.1125
1995-07-27,6.1025
1995-07-28,6.1010
1995-07-31,6.0975
1995-08-01,6.1175
1995-08-02,6.1175
1995-08-03,6.1225
1995-08-04,6.1350
1995-08-07,6.1385
1995-08-08,6.1390
1995-08-09,6.1380
1995-08-10,6.1380
1995-08-11,6.1380
1995-08-14,6.1365
1995-08-15,6.1425
1995-08-16,6.1600
1995-08-17,6.1960
1995-08-18,6.2300
1995-08-21,6.2185
1995-08-22,6.2390
1995-08-23,6.3160
1995-08-24,6.3305
1995-08-25,6.3075
1995-08-28,6.3130
1995-08-29,6.3070
1995-08-30,6.2960
1995-08-31,6.2750
1995-09-04,6.2500
1995-09-05,6.2390
1995-09-06,6.2450
1995-09-07,6.2595
1995-09-08,6.2725
1995-09-11,6.2825
1995-09-12,6.2885
1995-09-13,6.2775
1995-09-14,6.2775
1995-09-15,6.2735
1995-09-18,6.2775
1995-09-19,6.2930
1995-09-20,6.3085
1995-09-21,6.3185
1995-09-22,6.3375
1995-09-25,6.3775
1995-09-26,6.3975
1995-09-27,6.4250
1995-09-28,6.4150
1995-09-29,6.3850
1995-10-02,6.4350
1995-10-03,6.5175
1995-10-04,6.5300
1995-10-05,6.5285
1995-10-06,6.5410
1995-10-09,6.5975
1995-10-10,6.6975
1995-10-11,6.7425
1995-10-12,6.7225
1995-10-13,6.7300
1995-10-16,6.7450
1995-10-17,6.7445
1995-10-18,6.7150
1995-10-19,6.6760
1995-10-20,6.6625
1995-10-23,6.7095
1995-10-24,6.7575
1995-10-25,6.7710
1995-10-26,7.0225
1995-10-27,7.1450
1995-10-30,6.9900
1995-10-31,6.9975
1995-11-01,7.1875
1995-11-03,7.3300
1995-11-06,7.4000
1995-11-07,7.4300
1995-11-08,7.6250
1995-11-09,7.7050
1995-11-10,7.6000
1995-11-13,7.6600
1995-11-14,7.8150
1995-11-15,7.8800
1995-11-16,7.8300
1995-11-17,7.7100
1995-11-21,7.7050
1995-11-22,7.6950
1995-11-23,7.6450
1995-11-24,7.6400
1995-11-27,7.6650
1995-11-28,7.6425
1995-11-29,7.5475
1995-11-30,7.5050
1995-12-01,7.5475
1995-12-04,7.5750
1995-12-05,7.6300
1995-12-06,7.6650
1995-12-07,7.6825
1995-12-08,7.7250
1995-12-11,7.7400
1995-12-13,7.7450
1995-12-14,7.7750
1995-12-15,7.7725
1995-12-18,7.7375
1995-12-19,7.6900
1995-12-20,7.5900
1995-12-21,7.5600
1995-12-22,7.5800
1995-12-26,7.5750
1995-12-27,7.6050
1995-12-28,7.6800
1995-12-29,7.7000
1996-01-02,7.6800
1996-01-03,7.6250
1996-01-04,7.5525
1996-01-05,7.5625
1996-01-08,7.5450
1996-01-09,7.5060
1996-01-10,7.5050
1996-01-11,7.5175
1996-01-12,7.5175
1996-01-15,7.5135
1996-01-16,7.5200
1996-01-17,7.4925
1996-01-18,7.4710
1996-01-19,7.4450
1996-01-22,7.3750
1996-01-23,7.3830
1996-01-24,7.4100
1996-01-25,7.4000
1996-01-26,7.4075
1996-01-29,7.3925
1996-01-30,7.3945
1996-01-31,7.3850
1996-02-01,7.3900
1996-02-02,7.4025
1996-02-06,7.4250
1996-02-07,7.4575
1996-02-08,7.4625
1996-02-09,7.4850
1996-02-12,7.5025
1996-02-13,7.5400
1996-02-14,7.5250
1996-02-15,7.5190
1996-02-16,7.5410
1996-02-19,7.5400
1996-02-20,7.5525
1996-02-21,7.5455
1996-02-22,7.5425
1996-02-23,7.5375
1996-02-26,7.5450
1996-02-27,7.5425
1996-02-28,7.5595
1996-02-29,7.5820
1996-03-01,7.5850
1996-03-04,7.5660
1996-03-05,7.5725
1996-03-06,7.5750
1996-03-07,7.5700
1996-03-08,7.5825
1996-03-11,7.5950
1996-03-12,7.6050
1996-03-13,7.5910
1996-03-14,7.5710
1996-03-15,7.5685
1996-03-18,7.5450
1996-03-19,7.5285
1996-03-20,7.5325
1996-03-22,7.5475
1996-03-25,7.5455
1996-03-26,7.5440
1996-03-27,7.5425
1996-03-28,7.5445
1996-03-29,7.5345
1996-04-01,7.5150
1996-04-02,7.5015
1996-04-03,7.5175
1996-04-08,7.5390
1996-04-09,7.5425
