fecha_in,tc_in,fecha_bx,tc_bx
30/03/1993,3.0950,30/03/1993,3.0937
31/03/1993,3.0900,31/03/1993,3.0937
01/04/1993,3.0900,01/04/1993,3.0940
02/04/1993,3.0900,02/04/1993,3.0937
05/04/1993,3.0900,05/04/1993,3.0937
06/04/1993,3.0900,06/04/1993,3.0940
07/04/1993,3.1000,07/04/1993,3.0985
12/04/1993,3.1000,12/04/1993,3.0962
13/04/1993,3.1000,13/04/1993,3.1007
14/04/1993,3.0950,14/04/1993,3.0989
15/04/1993,3.0900,15/04/1993,3.0940
16/04/1993,3.0900,16/04/1993,3.0940
19/04/1993,3.0900,19/04/1993,3.0936
20/04/1993,3.0900,20/04/1993,3.0935
21/04/1993,3.0900,21/04/1993,3.0934
22/04/1993,3.0900,22/04/1993,3.0937
23/04/1993,3.0900,23/04/1993,3.0946
26/04/1993,3.0950,26/04/1993,3.0976
27/04/1993,3.1000,27/04/1993,3.0961
28/04/1993,3.1100,28/04/1993,3.1022
29/04/1993,3.1200,29/04/1993,3.1152
30/04/1993,3.1100,30/04/1993,3.1139
03/05/1993,3.1100,03/05/1993,3.1079
04/05/1993,3.1300,04/05/1993,3.1246
06/05/1993,3.1500,06/05/1993,3.1329
07/05/1993,3.1300,07/05/1993,3.1335
10/05/1993,3.1300,10/05/1993,3.1309
11/05/1993,3.1300,11/05/1993,3.1355
12/05/1993,3.1300,12/05/1993,3.1291
13/05/1993,3.1300,13/05/1993,3.1310
14/05/1993,3.1300,14/05/1993,3.1289
17/05/1993,3.1200,17/05/1993,3.1270
18/05/1993,3.1150,18/05/1993,3.1169
19/05/1993,3.1100,19/05/1993,3.1132
20/05/1993,3.1100,20/05/1993,3.1109
21/05/1993,3.1200,21/05/1993,3.1097
24/05/1993,3.1200,24/05/1993,3.1172
25/05/1993,3.1300,25/05/1993,3.1242
26/05/1993,3.1200,26/05/1993,3.1294
27/05/1993,3.1200,27/05/1993,3.1227
28/05/1993,3.1200,28/05/1993,3.1224
31/05/1993,3.1200,31/05/1993,3.1190
01/06/1993,3.1200,01/06/1993,3.1264
02/06/1993,3.1200,02/06/1993,3.1219
03/06/1993,3.1200,03/06/1993,3.1250
04/06/1993,3.1200,04/06/1993,3.1251
07/06/1993,3.1300,07/06/1993,3.1256
08/06/1993,3.1300,08/06/1993,3.1321
09/06/1993,3.1300,09/06/1993,3.1269
10/06/1993,3.1300,10/06/1993,3.1282
11/06/1993,3.1200,11/06/1993,3.1210
14/06/1993,3.1100,14/06/1993,3.1222
15/06/1993,3.1200,15/06/1993,3.1166
16/06/1993,3.1200,16/06/1993,3.1199
17/06/1993,3.1200,17/06/1993,3.1171
18/06/1993,3.1150,18/06/1993,3.1169
21/06/1993,3.1100,21/06/1993,3.1139
22/06/1993,3.1200,22/06/1993,3.1166
23/06/1993,3.1150,23/06/1993,3.1157
24/06/1993,3.1150,24/06/1993,3.1160
25/06/1993,3.1200,25/06/1993,3.1195
28/06/1993,3.1200,28/06/1993,3.1212
29/06/1993,3.1200,29/06/1993,3.1186
30/06/1993,3.1300,30/06/1993,3.1180
01/07/1993,3.1250,01/07/1993,3.1292
02/07/1993,3.1200,02/07/1993,3.1224
05/07/1993,3.1250,05/07/1993,3.1224
06/07/1993,3.1200,06/07/1993,3.1224
07/07/1993,3.1200,07/07/1993,3.1236
08/07/1993,3.1250,08/07/1993,3.1261
09/07/1993,3.1300,09/07/1993,3.1246
12/07/1993,3.1300,12/07/1993,3.1294
13/07/1993,3.1250,13/07/1993,3.1284
14/07/1993,3.1200,14/07/1993,3.1235
15/07/1993,3.1200,15/07/1993,3.1242
16/07/1993,3.1200,16/07/1993,3.1244
19/07/1993,3.1250,19/07/1993,3.1255
20/07/1993,3.1200,20/07/1993,3.1241
21/07/1993,3.1200,21/07/1993,3.1230
22/07/1993,3.1200,22/07/1993,3.1229
23/07/1993,3.1200,23/07/1993,3.1251
26/07/1993,3.1200,26/07/1993,3.1210
27/07/1993,3.1200,27/07/1993,3.1209
28/07/1993,3.1200,28/07/1993,3.1189
29/07/1993,3.1200,29/07/1993,3.1204
30/07/1993,3.1200,30/07/1993,3.1179
02/08/1993,3.1100,02/08/1993,3.1162
03/08/1993,3.1100,03/08/1993,3.1107
04/08/1993,3.1100,04/08/1993,3.1097
05/08/1993,3.1100,05/08/1993,3.1149
06/08/1993,3.1100,06/08/1993,3.1137
09/08/1993,3.1100,09/08/1993,3.1100
10/08/1993,3.1100,10/08/1993,3.1110
11/08/1993,3.1100,11/08/1993,3.1100
12/08/1993,3.1150,12/08/1993,3.1165
13/08/1993,3.1150,13/08/1993,3.1079
16/08/1993,3.1100,16/08/1993,3.1110
17/08/1993,3.1100,17/08/1993,3.1104
18/08/1993,3.1100,18/08/1993,3.1119
19/08/1993,3.1100,19/08/1993,3.1131
20/08/1993,3.1100,20/08/1993,3.1124
23/08/1993,3.1100,23/08/1993,3.1112
24/08/1993,3.1100,24/08/1993,3.1109
25/08/1993,3.1100,25/08/1993,3.1104
26/08/1993,3.1100,26/08/1993,3.1117
27/08/1993,3.1100,27/08/1993,3.1145
30/08/1993,3.1100,30/08/1993,3.1142
31/08/1993,3.1100,31/08/1993,3.1142
01/09/1993,3.1100,01/09/1993,3.1137
02/09/1993,3.1100,02/09/1993,3.1139
03/09/1993,3.1100,03/09/1993,3.1139
06/09/1993,3.1100,06/09/1993,3.1117
07/09/1993,3.1100,07/09/1993,3.1130
08/09/1993,3.1100,08/09/1993,3.1124
