id,Port Name,State,Port Code,Border,Date,Measure,Value
10842,Trout River,New York,715,US-Canada Border,2019/01/02,Train Passengers,102
10843,Alexandria Bay,New York,708,US-Canada Border,2019/01/02,Personal Vehicle Passengers,56521
10844,Eagle Pass,Texas,2303,US-Mexico Border,2019/01/02,Truck Containers Empty,2186
10845,Laredo,Texas,2304,US-Mexico Border,2019/01/02,Bus Passengers,61710
10846,Otay Mesa,California,2506,US-Mexico Border,2019/01/02,Truck Containers Empty,19908
10847,Grand Portage,Minnesota,3613,US-Canada Border,2019/01/02,Buses,62
10848,Roma,Texas,2310,US-Mexico Border,2019/01/02,Truck Containers Empty,666
10849,Roosville,Montana,3318,US-Canada Border,2019/01/02,Personal Vehicles,7951
10850,Hannah,North Dakota,3408,US-Canada Border,2019/01/02,Trucks,45
10851,Van Buren,Maine,108,US-Canada Border,2019/01/02,Truck Containers Full,655
10852,Boundary,Washington,3015,US-Canada Border,2019/01/02,Bus Passengers,53
